============================================
Dump: raid_overgod_20260919_161016
============================================

[I] segments loaded: 21189
[I] TLV messages parsed: 31387
[I] S2C: 856148 bytes, 856148 walked
[I] known players (valid range): 437

===== RESULTS =====
Total hits: 428

  Charmiinho      UTF-8      tag= 492:  10 hits
  Chronus         ASCII      tag=  65:  2 hits
  Chronus         ASCII      tag= 492:  5 hits
  Chronus         UTF-16LE   tag= 492:  1 hits
  Chronus         UTF-8      tag=  65:  2 hits
  Chronus         UTF-8      tag= 492:  5 hits
  Crasique        ASCII      tag=  65:  7 hits
  Crasique        ASCII      tag= 492:  1 hits
  Crasique        UTF-8      tag=  65:  7 hits
  Crasique        UTF-8      tag= 492:  1 hits
  Death           ASCII      tag= 492:  1 hits
  Death           UTF-8      tag= 492:  1 hits
  Deitoupq        ASCII      tag= 492:  3 hits
  Deitoupq        ASCII      tag= 551:  1 hits
  Deitoupq        UTF-8      tag= 492:  3 hits
  Deitoupq        UTF-8      tag= 551:  1 hits
  Desutil         ASCII      tag=   9:  1 hits
  Desutil         ASCII      tag=  65:  1 hits
  Desutil         ASCII      tag= 492:  2 hits
  Desutil         UTF-8      tag=   9:  1 hits
  Desutil         UTF-8      tag=  65:  1 hits
  Desutil         UTF-8      tag= 492:  2 hits
  Dkdelas         ASCII      tag=  65:  2 hits
  Dkdelas         ASCII      tag= 492:  3 hits
  Dkdelas         UTF-8      tag=  65:  2 hits
  Dkdelas         UTF-8      tag= 492:  3 hits
  Donkja          ASCII      tag=  65:  2 hits
  Donkja          ASCII      tag= 492:  1 hits
  Donkja          UTF-8      tag=  65:  2 hits
  Donkja          UTF-8      tag= 492:  1 hits
  Eamor           ASCII      tag= 492:  1 hits
  Eamor           UTF-8      tag= 492:  1 hits
  Fabclover       ASCII      tag=   9:  1 hits
  Fabclover       ASCII      tag=  65:  1 hits
  Fabclover       UTF-16BE   tag=  65:  2 hits
  Fabclover       UTF-16LE   tag=  65:  2 hits
  Fabclover       UTF-8      tag=   9:  1 hits
  Fabclover       UTF-8      tag=  65:  1 hits
  Fardais         ASCII      tag=  65:  1 hits
  Fardais         ASCII      tag= 492:  2 hits
  Fardais         UTF-8      tag=  65:  1 hits
  Fardais         UTF-8      tag= 492:  2 hits
  Favor           ASCII      tag= 492:  2 hits
  Favor           UTF-8      tag= 492:  2 hits
  Fvck            ASCII      tag= 492:  1 hits
  Fvck            UTF-8      tag= 492:  1 hits
  Gank            ASCII      tag= 492:  3 hits
  Gank            UTF-16LE   tag=  65:  1 hits
  Gank            UTF-8      tag= 492:  3 hits
  Gastavilao      ASCII      tag= 492:  1 hits
  Gastavilao      UTF-8      tag= 492:  1 hits
  Geototoso       ASCII      tag=  65:  2 hits
  Geototoso       ASCII      tag= 492:  3 hits
  Geototoso       UTF-8      tag=  65:  2 hits
  Geototoso       UTF-8      tag= 492:  3 hits
  Ginny           ASCII      tag=  65:  3 hits
  Ginny           ASCII      tag= 492:  11 hits
  Ginny           UTF-16LE   tag=  65:  1 hits
  Ginny           UTF-8      tag=  65:  3 hits
  Ginny           UTF-8      tag= 492:  11 hits
  Glamurosa       ASCII      tag=  65:  3 hits
  Glamurosa       ASCII      tag= 492:  4 hits
  Glamurosa       UTF-8      tag=  65:  3 hits
  Glamurosa       UTF-8      tag= 492:  4 hits
  Glorylord       ASCII      tag=   9:  1 hits
  Glorylord       ASCII      tag=  65:  1 hits
  Glorylord       ASCII      tag= 492:  5 hits
  Glorylord       UTF-8      tag=   9:  1 hits
  Glorylord       UTF-8      tag=  65:  1 hits
  Glorylord       UTF-8      tag= 492:  5 hits
  Gloss           ASCII      tag=  65:  5 hits
  Gloss           ASCII      tag= 492:  26 hits
  Gloss           UTF-16LE   tag=  65:  1 hits
  Gloss           UTF-8      tag=  65:  5 hits
  Gloss           UTF-8      tag= 492:  26 hits
  Godfast         ASCII      tag= 492:  3 hits
  Godfast         UTF-8      tag= 492:  3 hits
  Guagua          ASCII      tag=  65:  2 hits
  Guagua          ASCII      tag= 492:  1 hits
  Guagua          UTF-8      tag=  65:  2 hits
  Guagua          UTF-8      tag= 492:  1 hits
  Herrah          ASCII      tag=  65:  11 hits
  Herrah          ASCII      tag= 492:  27 hits
  Herrah          UTF-8      tag=  65:  11 hits
  Herrah          UTF-8      tag= 492:  27 hits
  Hipocrita       ASCII      tag= 492:  1 hits
  Hipocrita       UTF-8      tag= 492:  1 hits
  Honggee         ASCII      tag= 492:  8 hits
  Honggee         UTF-8      tag= 492:  8 hits
  Huopao          ASCII      tag= 492:  1 hits
  Huopao          UTF-16LE   tag= 492:  7 hits
  Huopao          UTF-8      tag= 492:  1 hits
  Jokermwc        ASCII      tag= 551:  1 hits
  Jokermwc        UTF-8      tag= 551:  1 hits
  Joones          ASCII      tag=  65:  1 hits
  Joones          ASCII      tag= 492:  1 hits
  Joones          UTF-16LE   tag= 492:  5 hits
  Joones          UTF-8      tag=  65:  1 hits
  Joones          UTF-8      tag= 492:  1 hits
  Kaliffado       ASCII      tag= 551:  1 hits
  Kaliffado       UTF-8      tag= 551:  1 hits
  Kblinho         ASCII      tag=  65:  2 hits
  Kblinho         ASCII      tag= 492:  3 hits
  Kblinho         UTF-8      tag=  65:  2 hits
  Kblinho         UTF-8      tag= 492:  3 hits
